Date,Open,High,Low,Close,Volume,Adj Close,Change
8/8/2008,11432.08984,11759.95996,11388.04004,11734.32031,212830000,11734.32031,0.026437027
8/11/2008,11729.66992,11867.11035,11675.53027,11782.34961,183190000,11782.34961,0.004491149
8/12/2008,11781.7002,11782.34961,11601.51953,11642.46973,173590000,11642.46973,-0.011817519
8/13/2008,11632.80957,11633.78027,11453.33984,11532.95996,182550000,11532.95996,-0.008583447
8/14/2008,11532.07031,11718.28027,11450.88965,11615.92969,159790000,11615.92969,0.007271841
8/15/2008,11611.20996,11709.88965,11599.73047,11659.90039,215040000,11659.90039,0.004193398
8/18/2008,11659.65039,11690.42969,11434.12012,11479.38965,156290000,11479.38965,-0.015460218
8/19/2008,11478.08984,11478.16992,11318.5,11348.54981,171580000,11348.54981,-0.011285853
8/20/2008,11345.94043,11454.15039,11290.58008,11417.42969,144880000,11417.42969,0.006300867
8/21/2008,11415.23047,11476.20996,11315.57031,11430.20996,130020000,11430.20996,0.001312237
8/22/2008,11426.79004,11632.12988,11426.79004,11628.05957,138790000,11628.05957,0.017613829
8/25/2008,11626.19043,11626.26953,11362.62988,11386.25,148610000,11386.25,-0.020637924
8/26/2008,11383.55957,11436.24023,11340.41016,11412.87012,119800000,11412.87012,0.002574814
8/27/2008,11412.45996,11554.45996,11381.76953,11502.50977,120580000,11502.50977,0.007890482
8/28/2008,11499.87012,11715.17969,11499.79004,11715.17969,149150000,11715.17969,0.018722783
8/29/2008,11713.23047,11713.23047,11543.38965,11543.95996,166910000,11543.95996,-0.014451223
9/2/2008,11545.62988,11790.16992,11471.90039,11516.91992,177090000,11516.91992,-0.002486652
9/3/2008,11506.00977,11554.37988,11416.53027,11532.87988,174250000,11532.87988,0.002335311
9/4/2008,11532.48047,11532.48047,11176.01953,11188.23047,229200000,11188.23047,-0.029850473
9/5/2008,11185.62988,11245.15039,11037.84961,11220.95996,198300000,11220.95996,0.003158524
9/8/2008,11224.87012,11570.66016,11224.79004,11510.74023,273000000,11510.74023,0.025467565
9/9/2008,11514.73047,11577.5,11230.73047,11230.73047,257300000,11230.73047,-0.02466406
9/10/2008,11233.91016,11380.62988,11215.25977,11268.91992,214260000,11268.91992,0.003116436
9/11/2008,11264.44043,11445.67969,11098.66992,11433.70996,247820000,11433.70996,0.015026892
9/12/2008,11429.32031,11459.92969,11280.40039,11421.99023,238890000,11421.99023,-0.00064134
9/15/2008,11416.37012,11416.4502,10917.50977,10917.50977,432970000,10917.50977,-0.043696932
9/16/2008,10905.62012,11093.21973,10742.7002,11059.01953,494760000,11059.01953,0.014066088
9/17/2008,11056.58008,11057.30957,10595.90039,10609.66016,463200000,10609.66016,-0.040421172
9/18/2008,10609.00977,11076.44043,10459.44043,11019.69043,488060000,11019.69043,0.038710555
9/19/2008,11027.50977,11483.04981,11026.7002,11388.44043,655110000,11388.44043,0.032730024
9/22/2008,11394.41992,11394.58008,10992.2002,11015.69043,213210000,11015.69043,-0.033238155
9/23/2008,11015.69043,11143.20996,10833.94043,10854.16992,204480000,10854.16992,-0.014662768
9/24/2008,10850.01953,10928.40039,10753.57031,10825.16992,183630000,10825.16992,-0.002290283
9/25/2008,10827.16992,11129.19043,10827.00977,11022.05957,218530000,11022.05957,0.018000055
9/26/2008,11019.04004,11168.05957,10868.82031,11143.12988,232560000,11143.12988,0.011261402
9/29/2008,11139.62012,11139.94043,10365.4502,10365.4502,385940000,10365.4502,-0.069496977
9/30/2008,10371.58008,10868.90039,10371.41992,10850.66016,319770000,10850.66016,0.046191619
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
